player,total_hands,vpip_hands,pfr_hands,channels_played_count,months_played_count,channels_played,VPIP,PFR,heuristic_label,vpip_minus_pfr,cluster
NO_GAMBO^,94,48,32,1,1,holdem,51.06382978723404,34.04255319148936,LAG,17.02127659574468,3
goreller,94,8,6,1,1,holdem,8.51063829787234,6.382978723404255,Rock,2.127659574468085,0
EasyYen,94,67,19,2,3,"holdem,holdem1",71.27659574468085,20.212765957446805,LAG,51.06382978723404,2
Trouble2,94,26,6,1,1,holdem,27.659574468085108,6.382978723404255,Fish,21.27659574468085,0
hootin1,94,79,0,2,2,"holdem,holdem1",84.04255319148936,0.0,Fish,84.04255319148936,2
Low-Limit,94,73,15,1,1,holdem1,77.6595744680851,15.95744680851064,LAG,61.70212765957446,2
EEEMan,94,66,11,1,1,holdem,70.2127659574468,11.702127659574469,Fish,58.51063829787233,2
Podunk,94,48,16,1,1,holdem,51.06382978723404,17.02127659574468,LAG,34.04255319148936,2
Burjan,94,56,32,1,1,holdem,59.57446808510638,34.04255319148936,LAG,25.53191489361702,3
[PING],94,57,5,1,1,holdem,60.63829787234043,5.319148936170213,Fish,55.319148936170215,2
Chianti,94,48,20,1,1,holdem,51.06382978723404,21.27659574468085,LAG,29.78723404255319,3
bother,94,45,4,1,1,holdem,47.87234042553192,4.25531914893617,Fish,43.61702127659575,0
feather,94,43,8,1,1,holdem,45.74468085106383,8.51063829787234,Fish,37.234042553191486,0
vedder{1},94,54,13,1,1,holdem,57.44680851063831,13.829787234042554,Fish,43.61702127659575,2
Saltydog,94,40,8,2,2,"holdem,holdem1",42.5531914893617,8.51063829787234,Fish,34.04255319148936,0
Fishmasta,94,36,2,2,1,"holdem,holdem1",38.297872340425535,2.127659574468085,Fish,36.17021276595745,0
BrentMac,94,26,1,1,1,holdem,27.659574468085108,1.0638297872340423,Fish,26.595744680851062,0
morb,94,64,9,1,2,holdem,68.08510638297872,9.574468085106384,Fish,58.51063829787234,2
May7th,94,46,1,1,3,holdem,48.93617021276596,1.0638297872340423,Fish,47.87234042553192,0
_FuZzZz_,94,83,16,1,2,holdem,88.29787234042553,17.02127659574468,LAG,71.27659574468085,2
juicer,94,84,5,2,1,"holdem,holdem1",89.36170212765957,5.319148936170213,Fish,84.04255319148936,2
Laptop366,94,85,60,2,3,"holdem,holdem1",90.42553191489364,63.82978723404256,LAG,26.59574468085107,1
FoldMan,94,67,3,1,2,holdem,71.27659574468085,3.191489361702128,Fish,68.08510638297872,2
Freshie,94,58,1,1,1,holdem,61.70212765957447,1.0638297872340423,Fish,60.63829787234042,2
Sandy^,94,68,5,1,1,holdem,72.3404255319149,5.319148936170213,Fish,67.0212765957447,2
Spinner,94,32,11,1,1,holdem,34.04255319148936,11.702127659574469,Fish,22.34042553191489,0
tronn,94,52,39,1,1,holdem,55.319148936170215,41.48936170212766,LAG,13.829787234042556,3
atticus2,94,31,4,2,3,"holdem,holdem1",32.97872340425532,4.25531914893617,Fish,28.72340425531915,0
bruffguy,94,45,28,1,2,holdem,47.87234042553192,29.78723404255319,LAG,18.08510638297873,3
